Title,Catagory,Number of review
Calle Dao Chelsea,"Chinese, Cuban",34
House of Lasagna,"Chinese, Fast Food",436
The Smile,"Chinese, Fast Food",164
Professor Thom's,"Chinese, Fast Food",39
MERMAID OYSTER BAR TIMES SQUARE,"Chinese, Fast Food",9
Chipotle Mexican Grill,"Chinese, Fast Food",0
TAO Downtown Restaurant,"Chinese, Japanese",1566
Serafina Restaurant,"Chinese, Japanese",500
new york sals pizza,"Chinese, Japanese",24
Osteria La Baia,"Chinese, Japanese",12
Tabernacle Steakhouse,"Chinese, Japanese",7
Katagiri,"Chinese, Japanese",7
H-Yard Gourmet Deli,"Chinese, Japanese",2
Halal Kitchen,"Chinese, Japanese",0
Dunkin',"Chinese, Japanese",0
Flor De Mayo Restaurant,"Chinese, Peruvian",177
Flor De Mayo,"Chinese, Peruvian",66
Tartine,"Chinese, Seafood",218
Inwood Pizza Llc,"Chinese, Seafood",100
Sichuan Hot Pot Cuisine,"Chinese, Seafood",87
Sichuan Hot Pot Cuisine,"Chinese, Seafood",87
Sichuan Hot Pot Cuisine,"Chinese, Seafood",87
Sichuan Hot Pot Cuisine,"Chinese, Seafood",87
Sichuan Hot Pot Cuisine,"Chinese, Seafood",87
Breakfast Bagel Bar,"Chinese, Seafood",87
Wok 88,"Chinese, Seafood",66
Pret A Manger,"Chinese, Seafood",45
Super Taste Chinese Restaurant,"Chinese, Spanish",19
Zest Ramen,"Chinese, Spanish",2
Sea Fire Grill,"Chinese, Steakhouse",1137
Hop Kee Restaurant,"Chinese, Steakhouse",326
Royal 35 Steakhouse,"Chinese, Steakhouse",290
Joseph Leonard,"Chinese, Steakhouse",208
Nino's Restaurant,"Chinese, Steakhouse",174
The Chester,"Chinese, Steakhouse",94
Noodles 28,"Chinese, Steakhouse",54
Toro Loco,"Chinese, Steakhouse",50
4 Charles Prime Rib,"Chinese, Steakhouse",47
Platho Deli Grocery,"Chinese, Steakhouse",44
Benjamin Steakhouse Prime,"Chinese, Sushi",309
Socarrat Paella Bar - Midtown East,"Chinese, Sushi",191
Wei West,"Chinese, Sushi",76
Bareburger - Yorkville,"Chinese, Sushi",32
10th Ave Pizza,"Chinese, Sushi",6
Summer Salt,"Chinese, Sushi",2
MacDougal Street Ale House,"Chinese, Thai",18
Gregorys Coffee,"Colombian, Latin",5
The Meatball Shop - Hell's Kitchen,Contemporary,1104
Perry St,Contemporary,368
Barclay Bar & Grill,Contemporary,102
Little Alley,Contemporary,44
Shu Jiao Fu Zhou Cuisine,Contemporary,38
19 Cleveland,Contemporary,13
The Modern,"Contemporary, American",502
Island,"Contemporary, American",146
Houseman,"Contemporary, American",52
Ledo Pizza,"Contemporary, American",13
Raines Law Room at The William,"Contemporary, Bar",40
Whole Foods Market,"Contemporary, Healthy",90
Kung Fu Kitchen,"Croatian, Italian",204
Cafe Cortadito,Cuban,50
Come Prima,"Cuban, Caribbean",52
Alleva,Deli,2490
Royal 35 Steakhouse,Deli,591
Socarrat Paella Bar - Chelsea,Deli,225
Socarrat Paella Bar - Midtown East,Deli,191
Boqueria Tapas Bar,Deli,106
Del Frisco's Grille,Deli,74
Porchlight,Deli,48
Pax Wholesome Foods,Deli,33
Greek From Greece,Deli,18
Buddha Beer Bar,Deli,17
Khiladi,"Deli, Canadian",2
Finn’s Bagels,"Deli, Diner",12
Kitchen Provance,"Deli, Grill",7
Katz's Deli,"Deli, Israeli",17920
2nd Avenue Deli,"Deli, Israeli",1205
2nd Avenue Deli and 2nd Floor Bar & Essen,"Deli, Israeli",167
Subway,"Deli, Vietnamese",20
Bella Napoli,Diner,342
Sticky Rice,Diner,121
Quality Eats,Diner,50
ilili Box,Diner,25
Vestry,Diner,24
The Immigrant,Diner,16
Three Guys Restaurant,Diner,16
The Classic Diner,Diner,14
Sutton Cafe Restaurant,Diner,14
Turntable LP Bar & Karaoke,Diner,10
Morton's The Steakhouse,"Diner, American",1204
Sea Fire Grill,"Diner, American",1137
Star Diner,"Diner, American",51
Hector's Cafe & Diner,"Diner, American",41
All Stars Sports Bar & Grill,"Diner, American",21
Neapolitan Express,"Diner, American",10
Little Italy Pizza,"Diner, Italian",72
Mercado Little Spain,Eastern European,276
Old Tbilisi Garden,Eastern European,108
Ratatouille (formerly Chicken Provence),Eastern European,23
Manon Cafe,Eastern European,6
Popeyes Louisiana Kitchen,"Eastern European, Armenian",7
Ukrainian East Village Restaurant,"Eastern European, European",85
Una Pizza Napoletana,"Eastern European, Georgian",19
Barney Greengrass,"Eastern European, Israeli",567
Maestro Pasta,"Emilian, Italian",44
The Independent,"Ethiopian, African",20
Bryant Park Cafe,European,229
City Sandwich,European,116
Bluebird London NYC,European,105
Taureau,European,54
Mountain Bird,European,42
Ponty Bistro,European,10
IL Gradino,European,6
Gansevoort Rooftop Lounge,European,5
Carol's Bun,European,3
Radio City Pizza,"European, American",125
Left Bank,"European, American",106
Pera Soho,"European, Bar",278
Le Pain Quotidien,"European, Cafe",106
SOUTHGATE Bar & Restaurant,"European, Cafe",98
The Landmark Tavern,"European, Central American",387
Surya,"European, Czech",57
Benjamin Steakhouse Prime,"European, Danish",309
Mari Vanna,"European, Eastern European",350
Kafana,"European, Eastern European",119
Havana NY,"European, French",277
Swift,"European, Italian",31
Opera Cafe & Lounge,"European, Mediterranean",94
aldea,"European, Portuguese",334
Russian Samovar,"European, Russian",333
Ben's Kosher Delicatessen Restaurant & Caterers - Manhattan,"European, Soups",957
Allora Fifth Ave,"European, Spanish",9
Maureen's Passion,"European, Spanish",4
Aquavit,"European, Swedish",568
Gordon Ramsay Fish & Chips,"European, Swedish",18
Lagos Restaurant and Lounge,"European, Swedish",6
Benjamin Steakhouse,Fast Food,2490
Citizens New York,Fast Food,191
W Cafe,Fast Food,156
Joe and Pats Pizzeria,Fast Food,111
Balzem,Fast Food,100
Pret A Manger,Fast Food,90
Tanoshi Sushi Sake Bar,Fast Food,73
Pret A Manger,Fast Food,73
Sachi Asian Bistro,Fast Food,67
Restaurant Patrick,Fast Food,67
Cafe du Soleil,"Fast Food, American",182
Times Deli Cafe,"Fast Food, American",166
Subway,"Fast Food, American",109
O Ya,"Fast Food, American",75
KFC,"Fast Food, American",46
Pret A Manger,"Fast Food, American",36
Broken Shaker at Freehand New York,"Fast Food, American",14
Library of Distilled Spirits,"Fast Food, American",12
SUGARFISH by Sushi Nozawa,"Fast Food, American",8
Subway,"Fast Food, American",8
L'Adresse,"Fast Food, Asian",215
Sip Sak,"Fast Food, Asian",168
Benny John's Bar and Grill,"Fast Food, Asian",3
Bondi Sushi,"Fast Food, Asian",3
Two Hands Seoul Fresh Corn Dogs,"Fast Food, Asian",0
Chick-fil-A,"Fast Food, Asian",0
Nevada Diner,"Fast Food, Barbecue",18
Au Bon Pain,"Fast Food, Cafe",62
Pret A Manger,"Fast Food, Cafe",43
Tosties,"Fast Food, Cafe",9
Bedford Falls,"Fast Food, Cafe",8
Socarrat Paella Bar - Chelsea,"Fast Food, Deli",225
Anyway Cafe,"Fast Food, Deli",43
The Handpulled Noodle - Harlem,"Fast Food, Deli",20
Slice Pizza,"Fast Food, Deli",5
Lezzet Mediterranean Turkish Restaurant,"Fast Food, European",17
Chai,"Fast Food, European",11
Allora Fifth Ave,"Fast Food, European",9
Ravagh,"Fast Food, European",5
Tenth Avenue Diner,"Fast Food, European",2
Casa Soglia,"Fast Food, European",0
Apotheke,"Fast Food, Mediterranean",292
Taim West Village,"Fast Food, Mediterranean",266
Ramen-Ya,"Fast Food, Mediterranean",39
Good Eats Diner,"Fast Food, Mediterranean",35
Turkiss,"Fast Food, Mediterranean",28
Frituras Ny,"Fast Food, Mediterranean",7
Brooklyn Chop House - Times Square,"Fast Food, Mediterranean",3
Mamoun's Falafel,"Fast Food, Middle Eastern",76
Guadalupe Mexican Bar and Grill,"Fast Food, Middle Eastern",60
Grand Sichuan,"Fast Food, Middle Eastern",36
Attaboy Cocktail Bar,"Fast Food, Middle Eastern",17
Panda Express,"Fast Food, Pizza",2
Hale and Hearty Soups -- 56th Street,"Fast Food, Soups",81
Tribeca Rooftop,"Fast Food, Soups",18
New York Sweets,"Fast Food, Soups",7
Em Vietnamese Bistro,"Fast Food, Soups",5
Le Petit Parisien,"Fast Food, Sushi",7
Mama Fina's NYC House of Filipino Sisig,Filipino,18
Pig and Khao,"Filipino, Asian",173
Jeepney,"Filipino, Asian",93
Grill 21,"Filipino, Asian",51
Ugly Kitchen,"Filipino, Asian",21
Delhi Masala,"Filipino, Asian",18
Sophie's Cuban Cuisine,"Filipino, Asian",4
Flip Sigi,"Filipino, Mexican",36
Le Bernardin,French,3559
Daniel,French,3371
Dive 106,French,2490
Jean Georges,French,1963
Per Se,French,1865
Sea Fire Grill,French,1137
Sea Fire Grill,French,1137
Playwright Celtic Pub,French,970
La Grenouille,French,919
Le Relais de Venise L'Entrecote Midtown East,French,803
Ponty Bistro Harlem,"French, African",591
Benjamin Steakhouse,"French, American",2490
Hill Country Barbecue Market,"French, American",1099
Dawn Patrol,"French, American",983
The Odeon,"French, American",513
Peasant,"French, American",378
Batard,"French, American",355
Benjamin Steakhouse Prime,"French, American",309
Sky Room,"French, American",280
The Ribbon,"French, American",272
The Consulate,"French, American",247
Dos Caminos,"French, Bar",459
L'Express,"French, Bar",283
Socarrat Paella Bar - Midtown East,"French, Bar",191
Kawa Sushi,"French, Bar",24
Mumtaz,"French, Bar",24
Tabernacle Steakhouse,"French, Bar",7
Brickyard craft kitchen & beer,"French, Bar",3
Cafe Un Deux Trois,"French, Cafe",1693
By Suzette,"French, Cafe",1137
Buvette Gastrotheque,"French, Cafe",968
Yum Yum Too,"French, Cafe",458
Le Pain Quotidien,"French, Cafe",320
Le Grainne Cafe,"French, Cafe",245
Maison Kayser UWS,"French, Cafe",221
Nelore Grill Brazilian Kitchen,"French, Cafe",175
Petrossian Boutique & Cafe,"French, Cafe",174
At Nine Restaurant & Bar,"French, Cafe",141
Benoit New York,"French, Contemporary",964
Gabriel Kreuther,"French, Contemporary",761
Frevo,"French, Contemporary",44
Balthazar,"French, European",6503
Le Rivage,"French, European",887
Topaz Thai Restaurant,"French, European",730
Le CouCou Restaurant,"French, European",546
Tout Va Bien,"French, European",475
Dirty French,"French, European",422
Petit Poulet,"French, European",388
Bistro Les Amis,"French, European",385
OCabanon,"French, European",385
Cafe d'Alsace,"French, European",372
Lupa Osteria Romana,"French, Fast Food",983
Popeyes Louisiana Kitchen,"French, Grill",4
Bouley at Home,"French, International",95
15 EAST @ Tocqueville,"French, Japanese",453
Menkoi Sato,"French, Japanese",7
Chirp,"French, Japanese Fusion",4
FIG & OLIVE,"French, Mediterranean",1234
Claudette,"French, Mediterranean",226
City Dumpling,"French, Mediterranean",24
787 Coffee,"French, Mediterranean",9
Benjamin Steakhouse,"French, Pub",2490
L’amico,"French, Seafood",482
Katherine,"French, Seafood",111
Boucherie West Village,"French, Steakhouse",1465
Boucherie Union Square,"French, Steakhouse",1325
La Grande Boucherie,"French, Steakhouse",1162
Brickyard craft kitchen & beer,"French, Swiss",432
Barawine,"French, Wine Bar",164
Mee Noodle Shop Hell's Kitchen,"French, Wine Bar",121
Vin Sur Vingt,"French, Wine Bar",29
Lashevet Restaurant,"French, Wine Bar",5
Casa Blanca,Fusion,1137
Benjamin Steakhouse Prime,Fusion,309
Seaport Wings,Fusion,0
Bowery Meat Company,"Fusion, French",207
Bobby Vans Steakhouse,"Gastropub, Bar",36
Emilio's Ballato,"Gastropub, Soups",357
Avant Garden,Georgian,92
Doty's Restaurant,Georgian,3
Hale & Hearty Soups,Georgian,2
Bierhaus NYC,German,291
Rivoli Pizza,German,4
Cafe Sabarsky,"German, Austrian",701
Cafe Katja,"German, Austrian",117
The Standard Biergarten,"German, Bar",452
Reichenbach Hall,"German, Bar",409
Loreley Beer Garden,"German, Bar",104
TSQ MKT,"German, Bar",9
Heidelberg Restaurant,"German, European",297
Doner Haus,"German, Mediterranean",3
Barbounia,Greek,407
Avra Madison Estiatorio,Greek,384
Vestry,Greek,98
Jerusalem Restaurant,Greek,14
Sushi Sushi,Greek,12
Alan’s Marketplace,Greek,5
Bei Jing Chinese Foods,Greek,5
Milk Bar West Village,Greek,5
Bangklyn East Harlem,Greek,0
Wholesome Garden Pizza,Greek,0
Socarrat Paella Bar - Chelsea,"Greek, Cafe",225
Artichoke Basille's Pizza,"Greek, Cafe",142
Foundry Kitchen and Bar,"Greek, Cafe",120
Benjamin Steakhouse,"Greek, Cafe",114
The Ainsworth - Midtown,"Greek, Cafe",66
Urban Vegan Kitchen,"Greek, Cafe",63
Cafe Con Leche,"Greek, Cafe",59
take31,"Greek, Cafe",34
Bella Vita Trattoria,"Greek, Cafe",29
Beer Garden,"Greek, Cafe",23
Randolph Beer,"Greek, Mediterranean",60
McDonald's,"Greek, Mediterranean",50
Fournos Theophilos,"Greek, Mediterranean",37
Osteria Carlina,"Greek, Mediterranean",18
Tabernacle Steakhouse,"Greek, Mediterranean",7
Miss Mamie's Spoonbread Too,"Greek, Wine Bar",102
Mi Tierra,Grill,3
Yakiniku Futago,"Grill, Diner",53
Darbar Grill,"Grill, Indian",149
Kasbah Grill,"Grill, Middle Eastern",64
Black Tap,Hawaiian,62
Dunkin',Hawaiian,20
New Kam Lai,Hawaiian,4
Caput Mundi,Hawaiian,2
Chikarashi,"Hawaiian, Japanese",36
sweetgreen,"Hawaiian, Seafood",25
Hu Kitchen,Healthy,200
Haandi Restaurant,Healthy,53
Fyahbun Creative,Healthy,49
Ladybird,Healthy,37
Tim Ho Wan,Healthy,35
Sushi Para 88,Healthy,34
Cafe Water,Healthy,33
Le Pain Quotidien,Healthy,29
Smiler's Gourmet Salad And Deli,Healthy,23
Just Salad,Healthy,17
Beyond Sushi,"Healthy, American",234
Bowery Road,"Healthy, American",66
Legacy Records,"Healthy, American",34
Kosaka,"Healthy, American",33
Just Salad,"Healthy, American",25
Van Leeuwen,"Healthy, American",4
Madhufalla,"Healthy, American",2
Soba Noodle Azuma,"Healthy, Cafe",60
Modern Bread And Bagel,"Healthy, Cafe",52
Krispy Kreme,"Healthy, Chinese",2
Le Botaniste,"Healthy, International",86
Ceci Italian Restaurant & Bar,"Healthy, Italian",658
Birds & Bubbles,"Healthy, Middle Eastern",49
THE WELL Kitchen & Table,"Healthy, Soups",6
Benjamin Steakhouse,Indian,2490
Heavenly Market & Cafe,Indian,983
Tamarind - Tribeca,Indian,753
Birreria,Indian,651
Wasabi Sushi & Bento,Indian,623
Indian Accent,Indian,569
Bengal Tiger Indian Food,Indian,550
Salumeria Rosi,Indian,400
Meson Sevilla,Indian,352
Darbar,Indian,331
Aangan Indian Cuisine,"Indian, American",76
Vestry,"Indian, Asian",2490
Sea Fire Grill,"Indian, Asian",1137
Junoon Restaurant,"Indian, Asian",771
Pearl Street Diner,"Indian, Asian",287
Chola,"Indian, Asian",228
Spice Symphony,"Indian, Asian",224
Greek From Greece,"Indian, Asian",222
Curry In a Hurry,"Indian, Asian",167
Moti Mahal Delux,"Indian, Asian",155
Essen Slow Fast Food,"Indian, Asian",147
Benjamin Steakhouse,"Indian, Chinese",2490
Sea Fire Grill,"Indian, Chinese",1137
Utsav Restaurant,"Indian, Chinese",627
Utsav Restaurant,"Indian, Chinese",627
Utsav Restaurant,"Indian, Chinese",627
Utsav Restaurant,"Indian, Chinese",627
Utsav Restaurant,"Indian, Chinese",627
Utsav Restaurant,"Indian, Chinese",627
Utsav Restaurant,"Indian, Chinese",627
Utsav Restaurant,"Indian, Chinese",627
Terroir at the Porch,"Indian, Contemporary",92
Patsy's Pizza--Murray Hill,"Indian, Contemporary",33
Just Salad,"Indian, Deli",29
Amma,"Indian, Dining bars",430
N.Y. Dosas,"Indian, Fast Food",35
Spice Symphony,"Indian, Healthy",2785
Vatan,"Indian, Healthy",209
No 1 Chinese Restaurant,"Indian, Healthy",0
Dun Huang East Village,"Indian, International",4
The Noortwyck,"Indian, Middle Eastern",0
Ru yi dumpling inc,"Indian, Middle Eastern",0
Renaissance Harlem,"Indian, Wine Bar",13
Angelo Bellini,International,113
Balzem,International,100
Balzem,International,100
Saar Indian Bistro,International,98
Lupa Osteria Romana,International,87
Abigail's Kitchen,International,82
Spoon Table and Bar,International,77
Amor y Amargo,International,61
Beer Table,International,20
Lyn-Genet's Kitchen,International,5
"Grand Central Oyster Bar, Inc.","International, American",5013
The Whitby Bar & Restaurant,"International, American",86
Ambassador Grill,"International, American",16
Red Bamboo,"International, Asian",321
Italian Village Pizzeria & Restaurant,"International, Asian",3
King's Carriage House,"International, British",88
Il Mattone,"International, Contemporary",8
Stone Bridge Pizza & Salad,"International, Fusion",41
Le Botaniste,"International, Healthy",15
The Dawson,"International, Healthy",10
Subway,"International, Healthy",8
red paper clip NYC,"International, Healthy",4
Rong Cheng House,"International, Mediterranean",2
Iron Horse NYC,"International, South American",8
Bait & Hook,Irish,62
Rinconcito Paisa,Irish,15
Vanguard Wine Bar,Irish,10
The Keg Room,"Irish, American",844
John Doe,"Irish, American",83
The Dead Rabbit,"Irish, Bar",1374
The Mean Fiddler,"Irish, Bar",1153
The Perfect Pint,"Irish, Bar",883
Megan’s Bar & Kitchen,"Irish, Bar",870
Scallywags Irish Pub and Restaurant,"Irish, Bar",240
The Triple Crown Ale House & Restaurant,"Irish, Bar",227
Blarney Rock Pub,"Irish, Bar",225
Pig 'N' Whistle Public House,"Irish, Bar",225
Mulligan's Pub,"Irish, Bar",224
Molly Wee Pub,"Irish, Bar",224
33 Gourmet Deli,"Irish, British",17
Medi Winebar,"Irish, Pub",131
Neary's,"Irish, Pub",119
Jerusalem Cafe,Israeli,66
Verlaine,Israeli,59
effys cafe,Israeli,23
Dabble,Israeli,16
Barnea Bistro,Israeli,15
Lenzs Delicatessen,Israeli,7
Living Thai,Israeli,4
L A Gourmet Deli,Israeli,3
Noel's Pizza,Israeli,3
Jungle Bird,Israeli,2
All Stars Sports Bar & Grill,"Israeli, Lebanese",24
Le Pain Quotidien,"Israeli, Mediterranean",38
Carmine's Italian Restaurant - Times Square,Italian,12775
Eataly NYC Flatiron,Italian,3418
La Masseria,Italian,1977
Babbo Ristorante e Enoteca,Italian,1965
IL Punto Ristorante,Italian,1585
Da Gennaro Restaurant,Italian,1558
Bond 45 Italian Kitchen & Bar,Italian,1531
Benito One,Italian,1493
Osteria al Doge,Italian,1406
Da Nico Ristorante-Manhattan Location,Italian,1180
King Of Falafel& Shawarma,"Italian, African",10
Marea,"Italian, American",2364
Sardi's Restaurant,"Italian, American",2093
Artichoke Basille's Pizza,"Italian, American",718
Royal 35 Steakhouse,"Italian, American",591
Royal 35 Steakhouse,"Italian, American",591
MoMA's Cafe 2,"Italian, American",447
EN Japanese Brasserie,"Italian, American",332
2 Bros Pizza,"Italian, American",250
Palace Restaurant,"Italian, American",232
Broadway Joe Steakhouse,"Italian, American",166
Urbanspace Vanderbilt,"Italian, Bar",420
Pietro's,"Italian, Bar",228
Dante,"Italian, Bar",182
Sauce & Barrel,"Italian, Bar",161
NITTIS,"Italian, Bar",99
Rosie O'Grady's Pub,"Italian, Bar",62
Apple Gourmet,"Italian, Bar",16
La Mercerie Cafe at The Guild,"Italian, Bar",13
E Noodle,"Italian, Bar",6
Le Pain Quotidien,"Italian, Bar",2
Brasserie Cognac,"Italian, Cafe",576
Fiat Cafe,"Italian, Cafe",390
Balzem,"Italian, Cafe",100
Sfilatino Italian Gourmet,"Italian, Cafe",66
Via Quadronno,"Italian, Cafe",57
Tarallucci E Vino- East Village,"Italian, Cafe",51
Chipotle Mexican Grill,"Italian, Cafe",42
Now or Never Coffee,"Italian, Cafe",0
Hutch & Waldo,"Italian, Caribbean",9
Deli Grocery,"Italian, Central-Italian",0
Chicken House,"Italian, Chinese",3
The Meatball Shop - Upper East Side,"Italian, Contemporary",157
The Palm Court,"Italian, European",1258
Rosemary's,"Italian, European",686
L'Artusi,"Italian, European",536
P.J. Clarke's On The Hudson,"Italian, European",494
Sant Ambroeus,"Italian, European",476
Cipriani Dolci,"Italian, European",406
Fanelli Cafe,"Italian, European",361
Benjamin Steakhouse Prime,"Italian, European",309
Cibo e Vino,"Italian, European",206
Bella Luna Restaurant,"Italian, European",172
Vestry,"Italian, Fast Food",24
5 Brothers Gourmet Market,"Italian, Fast Food",11
Ai Fiori,"Italian, French",1071
Trattoria Italienne,"Italian, French",66
Tin Building By Jean-georges,"Italian, French",28
Trattoria Pizzeria,"Italian, French",28
Socarrat Paella Bar - Chelsea,"Italian, French",7
Tangy Noodle,"Italian, French",3
Kharian Deli,"Italian, French",2
Luke's Lobster,"Italian, French",2
Harvest,"Italian, French",2
India Palace,"Italian, Greek",4
L'angolo Ristorante,"Italian, Healthy",31
Bigoi Venezia,"Italian, Healthy",17
Mille Nonne,"Italian, Healthy",6
Mama Mia 44 SW,"Italian, International",629
Gene's Restaurant,"Italian, International",111
Balzem,"Italian, International",100
Saggio,"Italian, International",96
Mughlai Grill Indian Cuisine,"Italian, International",13
Pop Karma,"Italian, Israeli",4
Frames,"Italian, Japanese",30
RPM Bar,"Italian, Japanese",7
Amarone Scarlatto,"Italian, Mediterranean",1947
Sea Fire Grill,"Italian, Mediterranean",1137
Nice Matin,"Italian, Mediterranean",948
Cosme,"Italian, Mediterranean",874
Le Pain Quotidien,"Italian, Mediterranean",765
San Carlo Osteria Piemonte,"Italian, Mediterranean",748
Masseria Dei Vini,"Italian, Mediterranean",604
Royal 35 Steakhouse,"Italian, Mediterranean",591
Palma,"Italian, Mediterranean",439
Aurora SoHo,"Italian, Mediterranean",400
Ledo Pizza,"Italian, Mexican",19
Tony's Di Napoli - Midtown,"Italian, Neapolitan",6522
Patsy's Italian Restaurant,"Italian, Neapolitan",5149
Rafele,"Italian, Neapolitan",1252
Tony's Di Napoli,"Italian, Neapolitan",199
Pasta Lovers Trattoria,"Italian, Neapolitan",7
Tim Ho Wan,"Italian, Northern-Italian",35
Meat and Bread,"Italian, Northern-Italian",0
John's of Times Square,"Italian, Pizza",6163
Lombardi's,"Italian, Pizza",4888
Dallas BBQ Times Square,"Italian, Pizza",3710
Olio e Piu,"Italian, Pizza",2998
Da Marino Restaurant,"Italian, Pizza",2769
Don Antonio,"Italian, Pizza",2259
Trattoria Dell'Arte,"Italian, Pizza",1941
John's of Bleecker Street,"Italian, Pizza",1854
Angelo's Pizza,"Italian, Pizza",1828
Capizzi,"Italian, Pizza",1791
Maestro Pasta,"Italian, Romagna",12
The Wing Dynasty,"Italian, Romana",1137
Lupa Osteria Romana,"Italian, Romana",983
Lupa Osteria Romana,"Italian, Romana",983
Lupa Osteria Romana,"Italian, Romana",983
Lupa Osteria Romana,"Italian, Romana",983
Lupa Osteria Romana,"Italian, Romana",983
Lupa Osteria Romana,"Italian, Romana",983
Lupa Osteria Romana,"Italian, Romana",983
Lupa Osteria Romana,"Italian, Romana",983
The Penrose,"Italian, Romana",983
Umberto's Clam House,"Italian, Seafood",405
Trattoria Pesce Pasta,"Italian, Seafood",222
Rocco Steakhouse,"Italian, Seafood",214
Il Pesce,"Italian, Seafood",84
Lex Restaurant,"Italian, Seafood",54
New York Thai Grill & Sushi Bar,"Italian, Seafood",54
Cascabel Taqueria East,"Italian, Seafood",50
Scampi,"Italian, Seafood",46
Osteria Del Porto,"Italian, Seafood",11
SESAMO - Italian Asian Restaurant Hell's Kitchen NYC,"Italian, Seafood",9
Becco,"Italian, Sicilian",4352
Piccola Cucina Osteria,"Italian, Sicilian",2710
Piccola Cucina Estiatorio,"Italian, Sicilian",403
IL Melograno,"Italian, Sicilian",331
The Leopard at des Artistes,"Italian, Sicilian",310
Noi Due Carne,"Italian, Steakhouse",2490
Osamil,"Italian, Steakhouse",69
Carne Mare,"Italian, Steakhouse",22
Marble Downtown,"Italian, Steakhouse",6
"Tramezzini NYC Sandwiches of Venice, Italy","Italian, Street Food",31
Toscana 49,"Italian, Tuscan",719
Pepolino Ristorante,"Italian, Tuscan",692
Pappardella,"Italian, Tuscan",494
Super Franc New York,"Italian, Tuscan",7
The Corner Chinese,"Italian, Tuscan",2
Uva,"Italian, Wine Bar",486
Aria Hell's Kitchen,"Italian, Wine Bar",236
Petrarca Cucina e Vino,"Italian, Wine Bar",187
Sofia Wine Bar,"Italian, Wine Bar",127
Felice 64,"Italian, Wine Bar",92
Felice Wine Bar,"Italian, Wine Bar",71
Sogno Toscano Cafe Market & Wine Bar,"Italian, Wine Bar",24
Giardino 54,"Italian, Wine Bar",24
The Elgin,"Italian, Wine Bar",19
Goldie's Tavern,"Italian, Wine Bar",7
The Edge Harlem,"Jamaican, American",92
Benjamin Steakhouse,Japanese,2490
Lupa Osteria Romana,Japanese,983
Lupa Osteria Romana,Japanese,983
Lupa Osteria Romana,Japanese,983
Nobu Downtown,Japanese,551
Motorino East Village,Japanese,400
Socarrat Paella Bar - Chelsea,Japanese,225
Omen Azen,Japanese,99
Sichuan Hot Pot Cuisine,Japanese,87
Noz 17,Japanese,87
Cafe Manhattan,"Japanese, American",180
Marco Polo Pizza Cafe,"Japanese, American",40
Flipper's,"Japanese, American",21
EatWith: Ai of New York Cit,"Japanese, American",13
Little Vincent's Pizza,"Japanese, American",13
Mokyo,"Japanese, American",11
Bad Roman,"Japanese, American",3
New Hong Wong Seafood Restaurant,"Japanese, American",2
Momofuku Noodle Bar,"Japanese, Asian",1473
IPPUDO WESTSIDE (Midtown),"Japanese, Asian",1335
Totto Ramen,"Japanese, Asian",1133
The Breslin,"Japanese, Asian",756
Ted's Montana Grill,"Japanese, Asian",755
Hakata Ippudo NY,"Japanese, Asian",620
Momosan Ramen & Sake,"Japanese, Asian",604
Sakagura,"Japanese, Asian",506
Jacob's Pickles,"Japanese, Asian",480
Hatsuhana Sushi Restaurant,"Japanese, Asian",425
Hama Japanese Cuisine,"Japanese, Bar",194
Tangy Noodle,"Japanese, Bar",55
Shinka Ramen and Sake,"Japanese, Bar",21
Juice Generation,"Japanese, Bar",7
Uchu,"Japanese, Bar",7
Gyu-Kaku Japanese BBQ,"Japanese, Barbecue",419
Gyu-Kaku Japanese BBQ,"Japanese, Barbecue",282
Yakiniku West,"Japanese, Barbecue",57
The Corner Lounge,"Japanese, Barbecue",0
Tim Ho Wan,"Japanese, Cafe",35
Manna's Soul Food,"Japanese, Cafe",30
Davelle,"Japanese, Cafe",7
Mochidoki,"Japanese, Cafe",4
North Shore Poke Company,"Japanese, Cafe",3
Secchu Yokota,"Japanese, Contemporary",7
New Wonjo Restaurant,"Japanese, Fast Food",466
Bento Sushi & Noodles,"Japanese, Fast Food",126
Outlaw Burger,"Japanese, Fast Food",17
Bocaphe,"Japanese, Grill",0
Twins Irish Pub,"Japanese, Hawaiian",99
Olives Organic Market,"Japanese, Indian",2
Unique Restaurant,"Japanese, International",0
The Marshal,"Japanese, Japanese Fusion",323
Magic Hour Rooftop Bar & Lounge,"Japanese, Japanese Fusion",2
Kingston Kosher Falafel,"Japanese, Japanese Fusion",2
Gong Cha Koreatown,"Japanese, Kaiseki",19
Mamasushi,"Japanese, Latin",49
Sen Sakana,"Japanese, Peruvian",171
SOHO Deli Grocery,"Japanese, Seafood",1137
Koi,"Japanese, Seafood",845
Nobu Fifty Seven,"Japanese, Seafood",673
Knickerbocker Bar & Grill,"Japanese, Seafood",470
Xeno’s Pizza,"Japanese, Seafood",290
Chez Jacqueline,"Japanese, Seafood",154
Roof Garden Cafe and Martini Bar,"Japanese, Seafood",143
Pokeworks,"Japanese, Seafood",134
SUGARFISH by sushi nozawa,"Japanese, Seafood",122
David Burke Tavern,"Japanese, Seafood",114
Tabata Noodle,"Japanese, Soups",146
Jeckyll and Hyde,"Japanese, Steakhouse",190
Papaya Dog,"Japanese, Steakhouse",51
Ikinari Steak 5th Ave,"Japanese, Steakhouse",23
Mamma's Rita Kitchen,"Japanese, Steakhouse",0
